Distance(mi),Street,Temperature(F),'Humidity(\%)',Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
'\'(-inf-0.0015]\'',local,'\'(76.5-inf)\'','\'(59.5-72.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',NW,Fair,False,True,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',Interstate,'\'(71.3-76.5]\'','\'(-inf-45]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',NW,'Partly Cloudy',False,False,True,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',Highway,'\'(71.3-76.5]\'','\'(82.5-93.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',Variable,Fair,False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',Highway,'\'(65.5-71.3]\'','\'(93.5-inf)\'','\'(-inf-29.715]\'','\'(-inf-9.5]\'',SW,Fair,False,False,False,False,False,False,False,True,Day
'\'(0.0015-1.1785]\'',local,'\'(51.5-57.5]\'','\'(72.5-82.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',NE,Cloudy,False,False,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',Highway,'\'(51.5-57.5]\'','\'(93.5-inf)\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',Calm,Fair,False,False,True,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',Interstate,'\'(71.3-76.5]\'','\'(59.5-72.5]\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',Variable,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',large_local,'\'(65.5-71.3]\'','\'(72.5-82.5]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',Calm,Fair,False,False,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',local,'\'(57.5-65.5]\'','\'(45-59.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',NW,Cloudy,False,True,False,False,True,False,False,True,Day
'\'(-inf-0.0015]\'',large_local,'\'(-inf-51.5]\'','\'(45-59.5]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',Beltway,'\'(57.5-65.5]\'','\'(59.5-72.5]\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',Calm,Fair,False,False,False,False,False,False,False,False,Night
'\'(-inf-0.0015]\'',local,'\'(51.5-57.5]\'','\'(82.5-93.5]\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',Calm,Fair,False,False,False,False,False,True,False,False,Day
'\'(-inf-0.0015]\'',local,'\'(51.5-57.5]\'','\'(-inf-45]\'','\'(29.945-inf)\'','\'(9.5-inf)\'',Calm,Clear,False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',local,'\'(71.3-76.5]\'','\'(93.5-inf)\'','\'(29.715-29.945]\'','\'(-inf-9.5]\'',Calm,Fair,False,False,True,False,False,False,False,False,Night
'\'(-inf-0.0015]\'',local,'\'(51.5-57.5]\'','\'(-inf-45]\'','\'(29.715-29.945]\'','\'(9.5-inf)\'',Calm,Fair,False,True,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',local,'\'(57.5-65.5]\'','\'(45-59.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',NW,Cloudy,False,False,False,False,False,False,False,True,Day
'\'(-inf-0.0015]\'',local,'\'(65.5-71.3]\'','\'(-inf-45]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',SW,Fair,False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',Highway,'\'(51.5-57.5]\'','\'(59.5-72.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',NE,Fair,False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',local,'\'(76.5-inf)\'','\'(45-59.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',SW,Fair,False,False,False,False,False,False,False,False,Day
'\'(-inf-0.0015]\'',large_local,'\'(57.5-65.5]\'','\'(45-59.5]\'','\'(-inf-29.715]\'','\'(9.5-inf)\'',W,Cloudy,False,True,False,False,False,False,False,True,Day
